Q3,-9.97,-7.31,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-4.05,-12.29,180.00,3K3,ERA-1AEB3401C_0201
R18,1.04,-11.68,180.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,-11.17,-9.90,270.80,0.47,CPF0201D7K68C1_0201
R1_USB,0.31,8.58,270.00,5K1,CPF0201D7K68C1_0201
R2,2.52,-2.12,180.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-12.39,-7.81,90.00,10K,CPF0201D7K68C1_0201
R2_USB,-3.08,8.65,270.00,5K1,CPF0201D7K68C1_0201
R3,2.84,-8.47,270.00,0,ERA-1AEB3401C_0201
R4,0.25,-1.23,179.90,0,ERA-1AEB3401C_0201
R5,-8.24,-14.39,0.00,10K,ERA-1AEB3401C_0201
R7,7.39,-13.25,180.00,10K,ERA-1AEB3401C_0201
R8,-4.03,-13.50,180.00,10K,ERA-1AEB3401C_0201
R9,0.16,-4.41,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-10.09,-5.52,180.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,-13.45,-12.20,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-19.24,-13.14,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,8.37,-15.32,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-2.63,-15.32,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-13.74,-15.32,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-7.44,-16.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-9.52,-15.52,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-23.26,-13.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-23.61,-9.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,11.89,-10.75,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,14.49,-16.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-20.52,13.34,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,18.23,-8.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,17.68,-13.53,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,-21.56,8.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,18.22,-1.12,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,18.23,-3.56,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,18.23,-5.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-7.52,-11.01,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,8.27,2.06,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,14.99,-8.62,270.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,15.23,5.42,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,2.10,1.06,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
